revelation_ref,canonical_source_refs,initial_relation,review_status,notes
Revelation 12:10,Job 1:9-11; Job 2:4-5; Zechariah 3:1,candidate-reuse,awaiting-original-language-verification,
Revelation 12:14,Exodus 19:4; Deuteronomy 32:11; Isaiah 40:31; Daniel 7:25; Daniel 12:7; Hosea 2:14-15,candidate-reuse,awaiting-original-language-verification,
Revelation 12:15,Exodus 15:12,candidate-reuse,awaiting-original-language-verification,Replaced an impossible Hosea 15:10 citation with the canonical earth-swallowing image candidate.
Revelation 12:17,Genesis 3:15; Daniel 7:21,candidate-reuse,awaiting-original-language-verification,
Revelation 13:1,"Daniel 7:3,7-8",candidate-reuse,awaiting-original-language-verification,
Revelation 13:2,Daniel 7:4-6,8,candidate-reuse,awaiting-original-language-verification,
Revelation 13:3,Daniel 7:8,candidate-reuse,awaiting-original-language-verification,
Revelation 13:4,Daniel 8:24,candidate-reuse,awaiting-original-language-verification,
Revelation 13:5,"Daniel 7:8,11,20,25; Daniel 11:36",candidate-reuse,awaiting-original-language-verification,
Revelation 13:7,Daniel 7:21,candidate-reuse,awaiting-original-language-verification,
Revelation 13:8,Exodus 32:32-33; Psalm 69:28; Isaiah 53:7; Daniel 12:1,candidate-reuse,awaiting-original-language-verification,
Revelation 13:10,Jeremiah 15:2; Jeremiah 43:11,candidate-reuse,awaiting-original-language-verification,
Revelation 13:11,Daniel 8:3,candidate-reuse,awaiting-original-language-verification,
Revelation 13:13,1 Kings 18:24-39; 2 Kings 1:10-12,candidate-reuse,awaiting-original-language-verification,Corrected unlikely 1 Kings 1:9-12 candidate.
Revelation 13:15,Daniel 3:5-6,candidate-reuse,awaiting-original-language-verification,
Revelation 13:16,Exodus 13:9; Deuteronomy 6:8; Isaiah 44:5,candidate-reuse,awaiting-original-language-verification,
Revelation 14:1,Psalm 2:6; Ezekiel 9:4,candidate-reuse,awaiting-original-language-verification,
Revelation 14:2,Ezekiel 1:24; Ezekiel 43:2,candidate-reuse,awaiting-original-language-verification,
Revelation 14:3,Psalm 144:9,candidate-reuse,awaiting-original-language-verification,
Revelation 14:5,Isaiah 53:9,candidate-reuse,awaiting-original-language-verification,
Revelation 14:7,Exodus 20:11,candidate-reuse,awaiting-original-language-verification,
Revelation 14:8,Isaiah 21:9; Jeremiah 51:7-8,candidate-reuse,awaiting-original-language-verification,
Revelation 14:10,Genesis 19:24; Psalm 75:8; Isaiah 51:17,candidate-reuse,awaiting-original-language-verification,
Revelation 14:11,Isaiah 34:10; Isaiah 66:24,candidate-reuse,awaiting-original-language-verification,
Revelation 14:14,Daniel 7:13,candidate-reuse,awaiting-original-language-verification,
Revelation 14:18,Joel 3:13,candidate-reuse,awaiting-original-language-verification,
Revelation 14:19,Isaiah 63:1-6,candidate-reuse,awaiting-original-language-verification,
Revelation 14:20,Joel 3:13; Isaiah 63:3; Lamentations 1:15,candidate-reuse,awaiting-original-language-verification,
Revelation 15:1,Leviticus 26:21,candidate-reuse,awaiting-original-language-verification,
Revelation 15:3,Exodus 15:1-18; Deuteronomy 31:30-32:44; Psalm 92:5; Psalm 111:2; Psalm 139:14,candidate-reuse,awaiting-original-language-verification,
Revelation 15:4,Psalm 86:9; Isaiah 66:23; Jeremiah 10:7,candidate-reuse,awaiting-original-language-verification,
Revelation 15:5,Exodus 38:21,candidate-reuse,awaiting-original-language-verification,
Revelation 15:6,Leviticus 26:21,candidate-reuse,awaiting-original-language-verification,
Revelation 15:7,Jeremiah 25:15,candidate-reuse,awaiting-original-language-verification,
Revelation 15:8,Exodus 40:34-35; Leviticus 26:21; 1 Kings 8:10-11; 2 Chronicles 5:13-14; Isaiah 6:1-4,candidate-reuse,awaiting-original-language-verification,
Revelation 16:1,Psalm 79:6; Jeremiah 10:25; Ezekiel 22:31,candidate-reuse,awaiting-original-language-verification,
Revelation 16:2,Exodus 9:9-11; Deuteronomy 28:35,candidate-reuse,awaiting-original-language-verification,
Revelation 16:3,Exodus 7:17-25,candidate-reuse,awaiting-original-language-verification,
Revelation 16:4,Exodus 7:17-21; Psalm 78:44,candidate-reuse,awaiting-original-language-verification,
Revelation 16:5,Psalm 145:17,candidate-reuse,awaiting-original-language-verification,
Revelation 16:6,Isaiah 49:26,candidate-reuse,awaiting-original-language-verification,
Revelation 16:7,Psalm 19:9; Psalm 145:17,candidate-reuse,awaiting-original-language-verification,
Revelation 16:10,Exodus 10:21-23,candidate-reuse,awaiting-original-language-verification,
Revelation 16:12,"Isaiah 11:15-16; Isaiah 41:2,25; Isaiah 46:11; Jeremiah 51:36",candidate-reuse,awaiting-original-language-verification,
Revelation 16:13,Exodus 8:1-15,candidate-reuse,awaiting-original-language-verification,
Revelation 16:14,1 Kings 22:21-23,candidate-reuse,awaiting-original-language-verification,
Revelation 16:16,Judges 5:19; 2 Kings 23:29-30; 2 Chronicles 35:22; Zechariah 12:11,candidate-reuse,awaiting-original-language-verification,
Revelation 16:19,Jeremiah 25:15,candidate-reuse,awaiting-original-language-verification,
Revelation 16:21,Exodus 9:18-25,candidate-reuse,awaiting-original-language-verification,
Revelation 17:1,Jeremiah 51:13; Nahum 3:4,candidate-reuse,awaiting-original-language-verification,
Revelation 17:2,Isaiah 23:17,candidate-reuse,awaiting-original-language-verification,
Revelation 17:3,Daniel 7:7,candidate-reuse,awaiting-original-language-verification,
Revelation 17:4,Jeremiah 51:7; Ezekiel 28:13,candidate-reuse,awaiting-original-language-verification,
Revelation 17:8,Exodus 32:32-33; Daniel 12:1,candidate-reuse,awaiting-original-language-verification,
Revelation 17:12,Daniel 7:24-25,candidate-reuse,awaiting-original-language-verification,
Revelation 17:14,Deuteronomy 10:17; Daniel 2:47,candidate-reuse,awaiting-original-language-verification,
Revelation 17:16,Leviticus 21:9,candidate-reuse,awaiting-original-language-verification,
Revelation 18:1,Ezekiel 43:2,candidate-reuse,awaiting-original-language-verification,
